date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:19	88003/88003	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-157c3%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-marketing.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-marketing.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:19	83711/83711	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-146ff%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-advertisement.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-advertisement.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:19	83362/83362	---MCZ	200	added ('OK')	text/html	etag:W/%22635e867c-145a2%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-consulting.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-consulting.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:19	95528/95528	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-17528%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-portfolio.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-portfolio.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:20	83235/83235	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-14523%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-software.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-software.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:20	86015/86015	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-14fff%22	https://htmlstream.com/preview/front-v4.3.1/landing-classic-business.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-classic-business.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:20	55156/55156	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-d774%22	https://htmlstream.com/preview/front-v4.3.1/landing-app-ui-kit.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-app-ui-kit.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	88052/88052	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-157f4%22	https://htmlstream.com/preview/front-v4.3.1/landing-app-saas.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-app-saas.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	132999/132999	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-20787%22	https://htmlstream.com/preview/front-v4.3.1/landing-app-workflow.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-app-workflow.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	86086/86086	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-15046%22	https://htmlstream.com/preview/front-v4.3.1/landing-app-payment.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-app-payment.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	78263/78263	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-131b7%22	https://htmlstream.com/preview/front-v4.3.1/landing-app-tool.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-app-tool.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	132992/132992	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-20780%22	https://htmlstream.com/preview/front-v4.3.1/landing-onepage-corporate.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-onepage-corporate.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:21	100333/100333	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-187ed%22	https://htmlstream.com/preview/front-v4.3.1/landing-onepage-saas.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/landing-onepage-saas.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:22	68644/68644	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10c24%22	https://htmlstream.com/preview/front-v4.3.1/page-about.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-about.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:22	77508/77508	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-12ec4%22	https://htmlstream.com/preview/front-v4.3.1/page-services.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-services.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:22	68149/68149	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10a35%22	https://htmlstream.com/preview/front-v4.3.1/page-customer-stories.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-customer-stories.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:22	69959/69959	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-11147%22	https://htmlstream.com/preview/front-v4.3.1/page-customer-story.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-customer-story.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
